OID_,OBJECTID,Shape__Are,Shape__Len,Shape_Leng,Shape_Area,Name,Elevation,Height3,Funding,Height4,Table_Name
0,7271,1221.862793,151.3265853,151.3265853,1221.862938,The Institute for Learning and Teaching,3191.850098,3.1918499,3900000,3.9000001,T.I.L.T.
1,9585,10928.89893,650.271312,650.271312,10928.89915,Lory Student Center,6405.040039,6.4050398,70000000,70,L.S.C.
2,15337,19158.23755,989.8763572,989.8763572,19158.23845,Recreation Center,2359.300049,2.3592999,45200000,45.2000008,Rec Center
3,16497,347.8276367,74.63243026,74.63243026,347.8277346,Chemistry  Research,159274,159.2740021,55400000,55.4000015,Chemistry Research
4,20975,1306.732422,151.7389685,151.7389685,1306.732748,Academic and Training Center,5356.870117,5.3568702,7000000,7,Academic and Training Center
5,24441,2754.513428,209.9347666,209.9347666,2754.513722,Durrell,3920.840088,3.92084,10800000,10.8000002,Durrell
6,24447,1124.880371,144.5243023,144.5243023,1124.88033,Computer Science,12445.7998,12.4457998,14000000,14,Computer Science
7,43846,3722.795166,433.6053433,433.6053433,3722.794688,Braiden Hall,3760.620117,3.7606201,14000000,14,Braiden Hall
8,45040,8048.74292,437.0934873,437.0934873,8048.742557,Morgan Library,2161.830078,2.1618299,17400000,17.3999996,Morgan Library
9,62451,3014.294189,240.1988791,240.1988791,3014.294081,Behavioral Science Building,14928.90039,14.9288998,45000000,45,Behavioral Science Building
10,63517,1624.671387,170.7675481,170.7675481,1624.671116,Preconstruction Center,3077.550049,3.0775499,5000000,5,Preconstruction Center
11,69368,6968.966553,373.0507322,373.0507322,6968.966293,Lake Street Garage,3099.459961,3.0994599,21600000,21.6000004,Lake St. Garage
12,71720,11100.25586,887.0427611,887.0427611,11100.25646,Parmelee,1378.349976,1.37835,15300000,15.3000002,Parmelee
13,79760,2395.146729,197.597488,197.597488,2395.146799,Eddy Hall,5218.890137,5.2188902,12500000,12.5,Eddy Hall
14,85528,1854.808838,291.6474102,291.6474102,1854.808445,Academic Honors,34558.80078,34.5587997,64100000,64.0999985,Academic Honors
15,86691,8530.163086,517.7672728,517.7672728,8530.163005,Clark,706.9030151,0.706903,6030000,6.0300002,Clark
16,97222,1189.017578,138.1807377,138.1807377,1189.017569,Lory Student Center Theatre,5046.180176,5.0461798,6000000,6,L.S.C Theatre
17,104130,1611.453369,222.1897777,222.1897777,1611.453108,Animal Science,22029.80078,22.0298004,35500000,35.5,Animal Science
18,107495,4630.098633,562.0951289,562.0951289,4630.09802,Rockwell Hall West,3779.620117,3.7796199,17500000,17.5,Rockwell Hall
19,109762,12569.17407,991.9839775,991.9839775,12569.17459,Human Performance Clinic,167.0749969,0.167075,2100000,2.0999999,Human Performance Clinic
20,113286,2493.420898,202.2847376,202.2847376,2493.421093,Smith Natural Resources,8101.319824,8.1013203,20200000,20.2000008,Natural Resources
21,0,0,0,185.9023045,2147.928373,Richard Design Center,9078.509766,9.0785103,19500000,19.5,Design Center
22,0,0,0,174.6615188,1756.182388,Biology Building,39859.19922,39.8591995,70000000,70,Biology
23,0,0,0,240.1572228,3589.782627,CSU Health and Medical Center,16435.5,16.4354992,59000000,59,Heatlh and Medical Center
24,0,0,0,604.4073273,21410.32612,Canvas Stadium,11139.5,11.1394997,238500000,238.5,Canvas Stadium
25,0,0,0,76.30681668,360.6455167,Iris and Michael Smith Alumni Center,18855.09961,18.8551006,6800000,6.8000002,Alumni Center
26,0,0,0,269.377262,4294.901713,South College Parking Garage,4074.600098,4.0746002,17500000,17.5,South College Garage
27,0,0,0,206.0028798,2075.17702,Horticulture Center,3614.149902,3.61415,7500000,7.5,Horticulture Center
28,0,0,0,281.5573046,3159.941094,Scott Bioengineering,20570,20.5699997,65000000,65,Bioengineering
